	Zola_Nana_0	Zola_Nana_1	Zola_Nana_2	Zola_Nana_3	Zola_Nana_4	Zola_Nana_5	Zola_Nana_6	Zola_Nana_7	Zola_Nana_8	Zola_Nana_9	Zola_Nana_10	Zola_Nana_11	Zola_Nana_12	Zola_Nana_13	Zola_Nana_14	Zola_Nana_15	Zola_Nana_16	Zola_Nana_17	Zola_Nana_18	Zola_Nana_19	Zola_Nana_20	Zola_Nana_21	Zola_Nana_22	Zola_Nana_23	Zola_Nana_24	Zola_Nana_25	Zola_Nana_26	Zola_Nana_27	Zola_Nana_28	Zola_Nana_29	Zola_Nana_30	Zola_Nana_31	Zola_Nana_32	Zola_Nana_33	Zola_Nana_34	Zola_Nana_sum
vous_PRO:PER_vous	8.0	11.0	6.0	15.0	18.0	18.0	14.0	16.0	7.0	12.0	15.0	13.0	6.0	4.0	5.0	1.0	10.0	13.0	3.0	4.0	7.0	4.0	12.0	5.0	9.0	4.0	6.0	4.0	4.0	10.0	1.0	5.0	1.0	2.0	15.0	288.0
où_PRO:REL_où	9.0	4.0	7.0	10.0	8.0	13.0	9.0	6.0	11.0	8.0	2.0	12.0	9.0	3.0	11.0	9.0	10.0	5.0	13.0	11.0	11.0	10.0	11.0	10.0	6.0	5.0	5.0	4.0	7.0	9.0	11.0	11.0	5.0	8.0	4.0	287.0
comte_NOM_comte	9.0	6.0	4.0	8.0	12.0	19.0	7.0	8.0	5.0	10.0	12.0	20.0	2.0	16.0	13.0	10.0	3.0	5.0	0.0	2.0	6.0	13.0	14.0	7.0	9.0	5.0	10.0	2.0	10.0	11.0	6.0	9.0	5.0	3.0	4.0	285.0
encore_ADV_encore	6.0	3.0	12.0	15.0	7.0	6.0	15.0	8.0	5.0	10.0	5.0	6.0	7.0	6.0	6.0	6.0	6.0	13.0	9.0	11.0	7.0	11.0	4.0	5.0	12.0	6.0	8.0	9.0	10.0	7.0	9.0	10.0	9.0	6.0	10.0	285.0
comme_ADV_comme	6.0	10.0	9.0	11.0	4.0	8.0	11.0	8.0	5.0	8.0	7.0	7.0	8.0	12.0	5.0	8.0	9.0	3.0	5.0	4.0	8.0	6.0	14.0	8.0	9.0	9.0	7.0	10.0	8.0	7.0	7.0	5.0	10.0	7.0	6.0	269.0
qu’il_NOM_qu’il	5.0	10.0	6.0	5.0	11.0	8.0	7.0	7.0	11.0	3.0	8.0	8.0	15.0	6.0	8.0	5.0	14.0	6.0	11.0	7.0	11.0	11.0	6.0	2.0	5.0	2.0	7.0	5.0	12.0	4.0	6.0	6.0	6.0	2.0	4.0	250.0
aux_PRP:det_au	6.0	8.0	6.0	3.0	6.0	11.0	7.0	9.0	6.0	6.0	6.0	9.0	3.0	8.0	6.0	6.0	4.0	6.0	9.0	8.0	8.0	5.0	9.0	10.0	3.0	8.0	9.0	8.0	5.0	12.0	10.0	12.0	7.0	5.0	5.0	249.0
Nana_NOM_nana	4.0	5.0	14.0	9.0	4.0	1.0	13.0	5.0	5.0	2.0	9.0	4.0	12.0	9.0	8.0	11.0	3.0	14.0	17.0	8.0	3.0	5.0	3.0	6.0	6.0	10.0	11.0	11.0	3.0	4.0	4.0	9.0	8.0	4.0	3.0	247.0
Fauchery_NAM_Fauchery	20.0	22.0	7.0	0.0	14.0	26.0	6.0	7.0	6.0	13.0	5.0	11.0	8.0	13.0	1.0	8.0	3.0	1.0	0.0	2.0	13.0	17.0	8.0	0.0	0.0	0.0	7.0	0.0	0.0	11.0	0.0	1.0	5.0	5.0	5.0	245.0
Muffat_NAM_Muffat	3.0	4.0	3.0	6.0	11.0	9.0	4.0	2.0	3.0	9.0	11.0	16.0	4.0	16.0	9.0	18.0	7.0	4.0	0.0	2.0	2.0	11.0	16.0	9.0	15.0	2.0	3.0	0.0	10.0	9.0	4.0	6.0	8.0	3.0	3.0	242.0
ces_PRO:DEM_ce	2.0	2.0	6.0	8.0	5.0	10.0	7.0	14.0	5.0	6.0	10.0	6.0	5.0	9.0	6.0	5.0	5.0	3.0	9.0	7.0	3.0	4.0	4.0	11.0	17.0	4.0	8.0	1.0	6.0	16.0	7.0	2.0	4.0	11.0	9.0	237.0
est_VER:pres_être	6.0	7.0	10.0	7.0	9.0	5.0	9.0	7.0	5.0	7.0	4.0	5.0	10.0	7.0	2.0	11.0	4.0	5.0	3.0	3.0	6.0	7.0	3.0	5.0	8.0	9.0	9.0	13.0	5.0	10.0	6.0	7.0	1.0	6.0	15.0	236.0
