	Stolz_DessusHaie_0	Stolz_DessusHaie_1	Stolz_DessusHaie_2	Stolz_DessusHaie_3	Stolz_DessusHaie_4	Stolz_DessusHaie_5	Stolz_DessusHaie_6	Stolz_DessusHaie_7	Stolz_DessusHaie_8	Stolz_DessusHaie_9	Stolz_DessusHaie_10	Stolz_DessusHaie_11	Stolz_DessusHaie_12	Stolz_DessusHaie_13	Stolz_DessusHaie_sum
fils_NOM_fil|fils	0.0	0.0	12.0	2.0	7.0	0.0	1.0	5.0	2.0	5.0	0.0	2.0	4.0	0.0	40.0
souvent_ADV_souvent	4.0	2.0	2.0	0.0	0.0	8.0	0.0	5.0	2.0	3.0	2.0	6.0	3.0	3.0	40.0
autres_ADJ_autre	1.0	1.0	3.0	3.0	5.0	5.0	5.0	0.0	3.0	1.0	3.0	6.0	2.0	2.0	40.0
ils_PRO:PER_il	0.0	3.0	5.0	0.0	2.0	2.0	11.0	5.0	0.0	0.0	8.0	3.0	1.0	0.0	40.0
ans_NOM_an	8.0	4.0	3.0	1.0	3.0	2.0	1.0	5.0	1.0	2.0	3.0	1.0	5.0	0.0	39.0
cet_PRO:DEM_ce	3.0	0.0	6.0	1.0	6.0	2.0	0.0	5.0	3.0	4.0	2.0	2.0	4.0	1.0	39.0
jours_NOM_jour	3.0	5.0	1.0	4.0	0.0	0.0	6.0	5.0	4.0	2.0	2.0	2.0	3.0	2.0	39.0
Ah_INT_ah	3.0	0.0	1.0	3.0	2.0	2.0	7.0	0.0	13.0	2.0	2.0	2.0	1.0	1.0	39.0
grand_ADJ_grand	0.0	5.0	2.0	1.0	2.0	8.0	4.0	6.0	4.0	1.0	2.0	1.0	2.0	1.0	39.0
haie_NOM_haie	5.0	12.0	0.0	2.0	0.0	5.0	5.0	0.0	2.0	4.0	0.0	0.0	2.0	2.0	39.0
avaient_VER:impf_avoir	1.0	4.0	2.0	1.0	7.0	0.0	3.0	6.0	2.0	0.0	4.0	4.0	1.0	4.0	39.0
vie_NOM_vie	3.0	6.0	2.0	3.0	4.0	1.0	1.0	3.0	3.0	4.0	2.0	3.0	2.0	2.0	39.0
trouvait_VER:impf_trouver	0.0	1.0	7.0	4.0	2.0	3.0	3.0	3.0	2.0	1.0	4.0	6.0	1.0	1.0	38.0
côté_NOM_côté	3.0	6.0	2.0	7.0	3.0	2.0	1.0	0.0	3.0	3.0	2.0	1.0	3.0	1.0	37.0
main_NOM_main	2.0	2.0	0.0	1.0	3.0	0.0	0.0	1.0	4.0	11.0	1.0	4.0	5.0	3.0	37.0
te_PRO:PER_te	4.0	8.0	0.0	4.0	0.0	4.0	3.0	0.0	0.0	7.0	3.0	0.0	3.0	1.0	37.0
vu_VER:pper_voir	1.0	2.0	2.0	1.0	4.0	0.0	7.0	3.0	4.0	3.0	2.0	2.0	3.0	3.0	37.0
vieillard_NOM_vieillard	6.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	9.0	4.0	3.0	1.0	36.0
enfants_NOM_enfant	4.0	2.0	5.0	6.0	4.0	4.0	1.0	2.0	1.0	1.0	1.0	0.0	3.0	2.0	36.0
maman_NOM_maman	2.0	8.0	0.0	3.0	0.0	6.0	7.0	1.0	0.0	5.0	1.0	0.0	0.0	2.0	35.0
Dieu_NOM_dieu	0.0	5.0	1.0	1.0	1.0	1.0	2.0	3.0	0.0	6.0	4.0	2.0	3.0	6.0	35.0
malade_ADJ_malade	2.0	0.0	3.0	0.0	0.0	3.0	1.0	3.0	10.0	7.0	4.0	1.0	1.0	0.0	35.0
toute_PRO:IND_tout	4.0	2.0	5.0	1.0	0.0	2.0	1.0	4.0	3.0	2.0	2.0	4.0	1.0	3.0	34.0
femme_NOM_femme	1.0	2.0	4.0	1.0	7.0	0.0	0.0	2.0	2.0	0.0	2.0	2.0	10.0	1.0	34.0
jusqu'_PRP_jusque	1.0	4.0	0.0	3.0	2.0	2.0	5.0	2.0	1.0	2.0	4.0	2.0	6.0	0.0	34.0
sont_VER:pres_être	3.0	8.0	0.0	1.0	3.0	3.0	3.0	4.0	0.0	3.0	3.0	1.0	2.0	0.0	34.0
voyait_VER:impf_voir	3.0	0.0	0.0	5.0	1.0	3.0	1.0	3.0	1.0	5.0	1.0	4.0	4.0	2.0	33.0
famille_NOM_famille	4.0	1.0	3.0	2.0	3.0	2.0	0.0	2.0	2.0	1.0	1.0	5.0	3.0	4.0	33.0
notre_DET:POS_notre	2.0	4.0	0.0	4.0	0.0	2.0	3.0	1.0	0.0	7.0	4.0	0.0	6.0	0.0	33.0
peine_NOM_peine	1.0	5.0	1.0	7.0	3.0	1.0	1.0	2.0	5.0	4.0	1.0	2.0	0.0	0.0	33.0
tête_NOM_tête	1.0	2.0	3.0	1.0	1.0	6.0	4.0	2.0	5.0	0.0	3.0	0.0	5.0	0.0	33.0
voulait_VER:impf_vouloir	2.0	0.0	2.0	1.0	2.0	3.0	2.0	2.0	2.0	3.0	10.0	4.0	0.0	0.0	33.0
pays_NOM_pays	0.0	0.0	0.0	1.0	5.0	1.0	6.0	9.0	0.0	4.0	1.0	6.0	0.0	0.0	33.0
beau_ADJ_beau	4.0	1.0	1.0	4.0	0.0	2.0	3.0	1.0	2.0	1.0	5.0	3.0	4.0	2.0	33.0
ben_ADV_ben	0.0	0.0	0.0	1.0	0.0	4.0	10.0	6.0	12.0	0.0	0.0	0.0	0.0	0.0	33.0
À_PRP_à	4.0	3.0	2.0	4.0	2.0	3.0	4.0	3.0	3.0	1.0	1.0	1.0	1.0	0.0	32.0
savait_VER:impf_savoir	1.0	3.0	3.0	2.0	2.0	0.0	0.0	4.0	3.0	2.0	2.0	3.0	4.0	3.0	32.0
Et_KON_et	3.0	0.0	2.0	2.0	5.0	1.0	4.0	3.0	2.0	3.0	1.0	3.0	2.0	1.0	32.0
ayant_VER:ppre_avoir	3.0	6.0	2.0	0.0	1.0	0.0	2.0	2.0	3.0	0.0	4.0	5.0	4.0	0.0	32.0
Un_DET:ART_un	2.0	2.0	4.0	3.0	2.0	2.0	1.0	4.0	2.0	2.0	2.0	3.0	2.0	1.0	32.0
chambre_NOM_chambre	2.0	3.0	3.0	2.0	3.0	0.0	0.0	1.0	3.0	1.0	7.0	1.0	3.0	3.0	32.0
mur_NOM_mur	10.0	3.0	3.0	1.0	1.0	8.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	4.0	32.0
suis_VER:pres_suivre|être	4.0	5.0	1.0	1.0	4.0	4.0	3.0	2.0	3.0	2.0	0.0	2.0	0.0	1.0	32.0
âme_NOM_âme	0.0	1.0	4.0	0.0	1.0	0.0	0.0	3.0	5.0	9.0	2.0	1.0	3.0	2.0	31.0
Mais_KON_mais	2.0	4.0	1.0	0.0	3.0	3.0	5.0	3.0	2.0	3.0	3.0	1.0	1.0	0.0	31.0
sœur_NOM_sœur	3.0	4.0	2.0	6.0	0.0	3.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	3.0	31.0
va_VER:pres_aller	2.0	6.0	1.0	5.0	0.0	1.0	8.0	3.0	1.0	0.0	3.0	0.0	0.0	1.0	31.0
allait_VER:impf_aller	0.0	4.0	3.0	1.0	2.0	1.0	2.0	4.0	2.0	2.0	1.0	2.0	5.0	2.0	31.0
fût_VER:subi_être	1.0	2.0	2.0	4.0	2.0	0.0	1.0	4.0	1.0	3.0	3.0	3.0	3.0	2.0	31.0
entre_PRP_entre	2.0	2.0	2.0	3.0	3.0	3.0	1.0	1.0	0.0	0.0	2.0	2.0	7.0	3.0	31.0
guerre_NOM_guerre	2.0	0.0	0.0	1.0	0.0	0.0	11.0	9.0	1.0	2.0	1.0	1.0	1.0	1.0	30.0
Non_ADV_non	3.0	3.0	2.0	1.0	2.0	2.0	1.0	6.0	2.0	6.0	0.0	1.0	0.0	1.0	30.0
assez_ADV_assez	7.0	1.0	1.0	1.0	1.0	4.0	4.0	0.0	2.0	1.0	4.0	1.0	2.0	1.0	30.0
devant_PRP_devant	3.0	0.0	7.0	1.0	0.0	1.0	1.0	1.0	3.0	0.0	2.0	4.0	3.0	4.0	30.0
longtemps_ADV_longtemps	2.0	1.0	3.0	2.0	1.0	3.0	0.0	0.0	1.0	1.0	5.0	4.0	5.0	2.0	30.0
M_VER:pper_m	2.0	0.0	3.0	0.0	1.0	0.0	0.0	5.0	3.0	6.0	3.0	2.0	1.0	3.0	29.0
fallait_VER:impf_falloir	0.0	1.0	4.0	5.0	3.0	2.0	2.0	3.0	2.0	1.0	1.0	1.0	4.0	0.0	29.0
triste_ADJ_triste	1.0	2.0	2.0	0.0	3.0	2.0	0.0	2.0	8.0	3.0	0.0	2.0	3.0	1.0	29.0
trois_NUM_trois	6.0	2.0	3.0	0.0	2.0	2.0	6.0	1.0	1.0	0.0	2.0	1.0	1.0	1.0	28.0
monsieur_NOM_monsieur	0.0	0.0	2.0	6.0	3.0	3.0	2.0	1.0	2.0	1.0	7.0	1.0	0.0	0.0	28.0
trop_ADV_trop	4.0	1.0	4.0	2.0	2.0	3.0	3.0	0.0	1.0	2.0	3.0	2.0	1.0	0.0	28.0
t'_PRO:PER_te	1.0	3.0	1.0	5.0	0.0	5.0	4.0	0.0	0.0	2.0	3.0	0.0	2.0	2.0	28.0
mains_NOM_main	2.0	2.0	2.0	3.0	1.0	1.0	4.0	1.0	1.0	2.0	2.0	2.0	3.0	2.0	28.0
-là_ADV_là	2.0	2.0	1.0	1.0	0.0	1.0	6.0	1.0	4.0	2.0	1.0	3.0	1.0	2.0	27.0
mettre_VER:infi_mettre	1.0	2.0	5.0	2.0	1.0	3.0	2.0	1.0	0.0	2.0	1.0	3.0	2.0	2.0	27.0
-vous_PRO:PER_vous	4.0	0.0	2.0	1.0	1.0	1.0	2.0	2.0	7.0	1.0	2.0	0.0	3.0	1.0	27.0
sentait_VER:impf_sentir	1.0	0.0	1.0	1.0	3.0	3.0	1.0	2.0	2.0	2.0	1.0	5.0	2.0	3.0	27.0
Quand_KON_quand	3.0	2.0	3.0	2.0	3.0	4.0	0.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	27.0
vrai_ADJ_vrai	0.0	3.0	2.0	3.0	2.0	2.0	1.0	2.0	1.0	3.0	2.0	2.0	2.0	2.0	27.0
esprit_NOM_esprit	1.0	1.0	0.0	1.0	2.0	2.0	1.0	4.0	1.0	3.0	2.0	3.0	4.0	2.0	27.0
seule_ADJ_seul	3.0	3.0	2.0	1.0	4.0	1.0	0.0	1.0	1.0	2.0	3.0	5.0	0.0	1.0	27.0
quelque_PRO:IND_quelque	0.0	0.0	2.0	6.0	1.0	2.0	3.0	2.0	2.0	1.0	0.0	2.0	2.0	4.0	27.0
bras_NOM_bras	2.0	0.0	5.0	2.0	0.0	1.0	3.0	0.0	1.0	0.0	6.0	2.0	5.0	0.0	27.0
devait_VER:impf_devoir	0.0	2.0	2.0	3.0	2.0	2.0	0.0	3.0	3.0	0.0	0.0	5.0	4.0	1.0	27.0
papa_NOM_papa	5.0	0.0	0.0	1.0	0.0	3.0	1.0	0.0	0.0	5.0	0.0	7.0	4.0	1.0	27.0
Son_DET:POS_son	2.0	2.0	4.0	1.0	3.0	2.0	0.0	4.0	1.0	1.0	1.0	1.0	2.0	3.0	27.0
campagne_NOM_campagne	2.0	5.0	3.0	2.0	1.0	5.0	2.0	0.0	0.0	1.0	0.0	1.0	4.0	1.0	27.0
malheur_NOM_malheur	2.0	0.0	0.0	4.0	2.0	2.0	3.0	3.0	3.0	0.0	1.0	2.0	3.0	1.0	26.0
-ce_PRO:DEM_ce	2.0	1.0	2.0	4.0	2.0	0.0	8.0	0.0	2.0	0.0	2.0	0.0	3.0	0.0	26.0
prendre_VER:infi_prendre	0.0	2.0	1.0	3.0	4.0	2.0	4.0	1.0	3.0	1.0	3.0	1.0	0.0	1.0	26.0
Bellerive_NOM_bellerive	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	4.0	3.0	4.0	4.0	4.0	2.0	26.0
venait_VER:impf_venir	4.0	0.0	2.0	1.0	2.0	1.0	2.0	5.0	2.0	1.0	2.0	2.0	2.0	0.0	26.0
pour_KON_pour	2.0	4.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0	2.0	1.0	3.0	1.0	26.0
personne_NOM_personne	3.0	2.0	3.0	5.0	3.0	3.0	1.0	0.0	2.0	1.0	1.0	1.0	0.0	1.0	26.0
aller_VER:infi_aller	1.0	2.0	2.0	6.0	0.0	2.0	4.0	0.0	2.0	2.0	1.0	1.0	1.0	2.0	26.0
pensée_NOM_pensée	1.0	0.0	1.0	3.0	5.0	0.0	0.0	2.0	3.0	1.0	1.0	4.0	3.0	2.0	26.0
ceux_PRO:DEM_celui	1.0	0.0	2.0	0.0	0.0	2.0	2.0	2.0	2.0	4.0	3.0	0.0	3.0	4.0	25.0
ont_VER:pres_avoir	1.0	3.0	1.0	0.0	2.0	0.0	7.0	2.0	0.0	3.0	3.0	0.0	2.0	1.0	25.0
leur_PRO:PER_lui	2.0	3.0	2.0	2.0	3.0	3.0	4.0	1.0	0.0	0.0	0.0	2.0	1.0	2.0	25.0
Vous_PRO:PER_vous	3.0	0.0	0.0	0.0	5.0	0.0	5.0	1.0	3.0	3.0	5.0	0.0	0.0	0.0	25.0
douce_ADJ_doux	1.0	1.0	3.0	0.0	1.0	0.0	0.0	2.0	3.0	2.0	3.0	3.0	5.0	1.0	25.0
ainsi_ADV_ainsi	2.0	3.0	0.0	0.0	4.0	2.0	1.0	5.0	0.0	1.0	2.0	3.0	2.0	0.0	25.0
parler_VER:infi_parler	2.0	1.0	0.0	3.0	1.0	1.0	1.0	1.0	5.0	2.0	3.0	1.0	3.0	1.0	25.0
pourquoi_ADV_pourquoi	3.0	3.0	0.0	1.0	2.0	0.0	4.0	3.0	1.0	2.0	2.0	1.0	1.0	1.0	24.0
ici_ADV_ici	2.0	3.0	4.0	1.0	2.0	3.0	5.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	24.0
aimait_VER:impf_aimer	2.0	1.0	0.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	2.0	3.0	3.0	24.0
leur_DET:POS_leur	2.0	0.0	5.0	1.0	1.0	0.0	2.0	3.0	1.0	2.0	0.0	0.0	2.0	5.0	24.0
fond_NOM_fond	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	3.0	4.0	3.0	6.0	1.0	24.0
Oui_INT_oui	4.0	0.0	3.0	1.0	2.0	1.0	5.0	1.0	3.0	2.0	1.0	1.0	0.0	0.0	24.0
plaisir_NOM_plaisir	0.0	0.0	1.0	4.0	1.0	3.0	4.0	2.0	1.0	1.0	2.0	3.0	1.0	1.0	24.0
bonhomme_NOM_bonhomme	6.0	2.0	3.0	2.0	4.0	0.0	1.0	3.0	1.0	0.0	2.0	0.0	0.0	0.0	24.0
oui_INT_oui	1.0	0.0	1.0	2.0	0.0	1.0	5.0	2.0	5.0	3.0	3.0	0.0	1.0	0.0	24.0
part_NOM_part	1.0	1.0	2.0	3.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	3.0	4.0	4.0	24.0
celle_PRO:DEM_celui	1.0	1.0	3.0	2.0	2.0	2.0	1.0	0.0	2.0	2.0	1.0	2.0	3.0	2.0	24.0
image_NOM_image	0.0	5.0	4.0	0.0	0.0	1.0	0.0	3.0	1.0	1.0	3.0	1.0	2.0	3.0	24.0
Oh_INT_oh	2.0	1.0	0.0	3.0	1.0	2.0	3.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	24.0
seul_ADJ_seul	1.0	1.0	3.0	2.0	2.0	3.0	0.0	3.0	3.0	1.0	2.0	3.0	0.0	0.0	24.0
nuit_NOM_nuit	0.0	2.0	0.0	1.0	0.0	0.0	2.0	5.0	5.0	4.0	2.0	1.0	1.0	1.0	24.0
frère_NOM_frère	0.0	5.0	2.0	5.0	0.0	1.0	2.0	1.0	0.0	1.0	2.0	0.0	0.0	4.0	23.0
eut_VER:simp_avoir	4.0	0.0	3.0	3.0	2.0	1.0	0.0	3.0	1.0	1.0	1.0	1.0	2.0	1.0	23.0
seulement_ADV_seulement	1.0	5.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	2.0	0.0	2.0	2.0	0.0	23.0
choses_NOM_chose	0.0	1.0	0.0	2.0	1.0	4.0	0.0	3.0	2.0	1.0	4.0	2.0	2.0	1.0	23.0
voix_NOM_voix	1.0	2.0	3.0	1.0	1.0	1.0	0.0	0.0	1.0	3.0	4.0	1.0	2.0	3.0	23.0
première_NUM_premier	3.0	1.0	1.0	5.0	1.0	0.0	2.0	1.0	2.0	3.0	0.0	3.0	1.0	0.0	23.0
mal_ADV_mal	2.0	4.0	2.0	2.0	4.0	1.0	2.0	1.0	3.0	0.0	0.0	1.0	1.0	0.0	23.0
chère_ADJ_cher	3.0	1.0	0.0	1.0	0.0	3.0	5.0	1.0	0.0	3.0	0.0	0.0	1.0	5.0	23.0
sais_VER:pres_savoir	1.0	6.0	0.0	0.0	1.0	3.0	3.0	1.0	1.0	5.0	1.0	0.0	1.0	0.0	23.0
heure_NOM_heure	0.0	1.0	2.0	3.0	0.0	1.0	2.0	2.0	2.0	3.0	2.0	1.0	2.0	2.0	23.0
servante_NOM_servante	4.0	4.0	1.0	1.0	0.0	0.0	0.0	1.0	4.0	2.0	2.0	1.0	1.0	2.0	23.0
elles_PRO:PER_elle	0.0	4.0	1.0	3.0	1.0	4.0	0.0	2.0	0.0	2.0	1.0	2.0	0.0	2.0	22.0
France_NAM_france	0.0	0.0	0.0	0.0	0.0	0.0	1.0	10.0	0.0	4.0	0.0	2.0	4.0	1.0	22.0
veux_VER:pres_vouloir	2.0	3.0	0.0	1.0	1.0	4.0	0.0	2.0	0.0	5.0	1.0	0.0	0.0	3.0	22.0
grande_ADJ_grand	4.0	0.0	1.0	3.0	2.0	3.0	2.0	1.0	0.0	0.0	0.0	1.0	4.0	1.0	22.0
pourtant_ADV_pourtant	0.0	0.0	1.0	1.0	4.0	1.0	0.0	4.0	2.0	4.0	1.0	2.0	0.0	2.0	22.0
voisins_NOM_voisin	4.0	3.0	0.0	3.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	2.0	4.0	1.0	22.0
peur_NOM_peur	3.0	1.0	3.0	1.0	0.0	2.0	1.0	3.0	0.0	3.0	3.0	0.0	1.0	1.0	22.0
grands_ADJ_grand	0.0	2.0	2.0	0.0	0.0	3.0	1.0	2.0	1.0	6.0	0.0	2.0	2.0	1.0	22.0
vit_VER:pres_vivre	2.0	0.0	3.0	3.0	2.0	3.0	1.0	1.0	2.0	0.0	1.0	1.0	2.0	1.0	22.0
père_NOM_père	9.0	1.0	2.0	0.0	1.0	0.0	2.0	0.0	1.0	4.0	0.0	1.0	0.0	1.0	22.0
parlait_VER:impf_parler	0.0	0.0	0.0	1.0	0.0	3.0	0.0	3.0	3.0	1.0	2.0	3.0	4.0	2.0	22.0
celui_PRO:DEM_celui	1.0	2.0	1.0	1.0	0.0	2.0	2.0	1.0	1.0	2.0	2.0	3.0	3.0	1.0	22.0
J'_PRO:PER_je	4.0	2.0	0.0	0.0	4.0	3.0	6.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	22.0
pendant_PRP_pendant	1.0	2.0	2.0	0.0	3.0	2.0	1.0	5.0	1.0	1.0	1.0	2.0	1.0	0.0	22.0
soir_NOM_soir	1.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	7.0	3.0	0.0	0.0	5.0	2.0	22.0
mort_NOM_mort	1.0	0.0	0.0	1.0	2.0	1.0	1.0	3.0	2.0	1.0	3.0	6.0	1.0	0.0	22.0
enfin_ADV_enfin	1.0	0.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	5.0	2.0	3.0	2.0	1.0	21.0
bout_NOM_bout	1.0	0.0	1.0	2.0	2.0	2.0	2.0	1.0	0.0	2.0	0.0	3.0	5.0	0.0	21.0
coup_NOM_coup	2.0	1.0	1.0	1.0	0.0	1.0	2.0	1.0	2.0	2.0	2.0	3.0	1.0	2.0	21.0
malgré_PRP_malgré	3.0	1.0	0.0	1.0	2.0	2.0	1.0	0.0	1.0	1.0	2.0	3.0	2.0	2.0	21.0
voilà_ADV_voilà	1.0	2.0	0.0	1.0	1.0	4.0	2.0	0.0	4.0	2.0	3.0	0.0	0.0	1.0	21.0
regardait_VER:impf_regarder	0.0	1.0	1.0	3.0	3.0	0.0	0.0	0.0	3.0	5.0	1.0	2.0	2.0	0.0	21.0
porte_NOM_porte	0.0	2.0	5.0	2.0	0.0	2.0	0.0	2.0	0.0	1.0	2.0	3.0	2.0	0.0	21.0
pu_VER:pper_pouvoir	2.0	1.0	0.0	2.0	2.0	1.0	3.0	0.0	1.0	2.0	3.0	1.0	2.0	1.0	21.0
soins_NOM_soin	1.0	1.0	0.0	0.0	3.0	1.0	0.0	1.0	3.0	4.0	3.0	3.0	0.0	1.0	21.0
besoin_NOM_besoin	3.0	1.0	0.0	1.0	5.0	1.0	0.0	1.0	3.0	3.0	1.0	0.0	2.0	0.0	21.0
regard_NOM_regard	2.0	1.0	3.0	1.0	2.0	0.0	0.0	3.0	1.0	2.0	1.0	2.0	3.0	0.0	21.0
toutes_PRO:IND_tout	0.0	2.0	0.0	3.0	2.0	2.0	0.0	2.0	5.0	2.0	2.0	0.0	1.0	0.0	21.0
terre_NOM_terre	2.0	4.0	1.0	1.0	4.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	3.0	1.0	21.0
sergent_NOM_sergent	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	9.0	6.0	1.0	2.0	0.0	0.0	20.0
visage_NOM_visage	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	2.0	3.0	2.0	1.0	5.0	3.0	20.0
-on_PRO:PER_on	1.0	3.0	1.0	0.0	2.0	7.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	20.0
donnait_VER:impf_donner	2.0	0.0	0.0	3.0	1.0	4.0	1.0	1.0	0.0	2.0	3.0	0.0	1.0	2.0	20.0
cher_ADJ_cher	0.0	1.0	0.0	2.0	1.0	2.0	3.0	3.0	1.0	1.0	3.0	0.0	3.0	0.0	20.0
-tu_PRO:PER_tu	3.0	2.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	6.0	2.0	0.0	2.0	1.0	20.0
avez_VER:pres_avoir	0.0	0.0	1.0	1.0	2.0	0.0	5.0	3.0	2.0	0.0	4.0	0.0	1.0	1.0	20.0
Cependant_ADV_cependant	1.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	2.0	2.0	2.0	3.0	1.0	1.0	20.0
brigadier_NOM_brigadier	2.0	0.0	1.0	2.0	0.0	1.0	9.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	20.0
nos_DET:POS_notre	0.0	3.0	1.0	1.0	2.0	0.0	2.0	3.0	0.0	3.0	1.0	0.0	3.0	1.0	20.0
chercher_VER:infi_chercher	1.0	1.0	1.0	3.0	0.0	1.0	1.0	1.0	3.0	4.0	3.0	1.0	0.0	0.0	20.0
Il_NAM_il	3.0	2.0	2.0	3.0	2.0	1.0	3.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	20.0
après_PRP_après	0.0	2.0	1.0	2.0	1.0	0.0	1.0	2.0	0.0	4.0	4.0	2.0	1.0	0.0	20.0
afin_KON_afin	3.0	3.0	2.0	3.0	3.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	20.0
passer_VER:infi_passer	2.0	0.0	1.0	0.0	1.0	3.0	4.0	2.0	2.0	1.0	0.0	2.0	2.0	0.0	20.0
déjà_ADV_déjà	2.0	3.0	2.0	1.0	0.0	2.0	3.0	1.0	3.0	0.0	1.0	1.0	0.0	1.0	20.0
raison_NOM_raison	2.0	2.0	1.0	2.0	0.0	2.0	4.0	2.0	2.0	0.0	2.0	0.0	1.0	0.0	20.0
heureuse_ADJ_heureux	4.0	0.0	2.0	1.0	3.0	1.0	0.0	0.0	1.0	1.0	1.0	2.0	2.0	2.0	20.0
rats_NOM_rat	3.0	0.0	4.0	0.0	1.0	2.0	1.0	5.0	1.0	0.0	1.0	0.0	0.0	1.0	19.0
bonté_NOM_bonté	3.0	0.0	4.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	3.0	1.0	0.0	3.0	19.0
presque_ADV_presque	1.0	0.0	1.0	3.0	3.0	0.0	1.0	3.0	3.0	2.0	0.0	0.0	0.0	2.0	19.0
pain_NOM_pain	3.0	4.0	4.0	0.0	2.0	0.0	4.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	19.0
Âne_NOM_âne	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	8.0	2.0	1.0	1.0	19.0
semblait_VER:impf_sembler	1.0	0.0	0.0	2.0	3.0	1.0	0.0	1.0	4.0	1.0	1.0	2.0	1.0	2.0	19.0
Sa_DET:POS_son	0.0	3.0	4.0	3.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	19.0
fleurs_NOM_fleur	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	2.0	8.0	2.0	0.0	19.0
idées_NOM_idée	0.0	1.0	0.0	1.0	0.0	4.0	0.0	1.0	0.0	1.0	1.0	7.0	3.0	0.0	19.0
votre_DET:POS_votre	2.0	1.0	2.0	1.0	1.0	0.0	2.0	2.0	0.0	6.0	1.0	0.0	0.0	1.0	19.0
cousin_NOM_cousin	0.0	0.0	13.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	19.0
suite_NOM_suite	1.0	3.0	0.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	0.0	1.0	2.0	0.0	19.0
doux_ADJ_doux	1.0	3.0	0.0	3.0	0.0	1.0	0.0	1.0	2.0	1.0	0.0	1.0	3.0	3.0	19.0
serait_VER:cond_être	1.0	2.0	1.0	4.0	1.0	0.0	2.0	1.0	0.0	0.0	2.0	0.0	4.0	1.0	19.0
nouvelles_ADJ_nouveau	0.0	0.0	3.0	0.0	2.0	3.0	7.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	19.0
laisser_VER:infi_laisser	1.0	2.0	4.0	1.0	1.0	1.0	0.0	1.0	2.0	4.0	0.0	0.0	2.0	0.0	19.0
vers_PRP_vers	0.0	1.0	3.0	3.0	1.0	0.0	2.0	0.0	0.0	0.0	4.0	3.0	2.0	0.0	19.0
-ci_ADV_-ci	0.0	0.0	2.0	4.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	0.0	3.0	0.0	19.0
entendre_VER:infi_entendre	1.0	1.0	0.0	1.0	1.0	1.0	2.0	2.0	5.0	1.0	3.0	1.0	0.0	0.0	19.0
entendait_VER:impf_entendre	0.0	0.0	5.0	2.0	0.0	1.0	0.0	3.0	1.0	1.0	1.0	1.0	3.0	0.0	18.0
fort_ADV_fort	0.0	1.0	2.0	3.0	1.0	1.0	1.0	4.0	1.0	0.0	2.0	0.0	2.0	0.0	18.0
avenir_NOM_avenir	1.0	0.0	0.0	0.0	2.0	1.0	2.0	2.0	0.0	2.0	1.0	5.0	1.0	1.0	18.0
Eh_INT_eh	1.0	0.0	0.0	1.0	3.0	0.0	6.0	2.0	2.0	0.0	2.0	0.0	0.0	1.0	18.0
pris_VER:pper_prendre	1.0	3.0	0.0	1.0	2.0	2.0	0.0	4.0	1.0	1.0	1.0	0.0	1.0	1.0	18.0
ami_NOM_ami	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	3.0	1.0	1.0	5.0	2.0	2.0	18.0
malheureux_ADJ_malheureux	1.0	1.0	0.0	0.0	4.0	0.0	2.0	4.0	2.0	1.0	1.0	1.0	1.0	0.0	18.0
