	Ponson_Breda_0	Ponson_Breda_1	Ponson_Breda_2	Ponson_Breda_3	Ponson_Breda_4	Ponson_Breda_5	Ponson_Breda_6	Ponson_Breda_7	Ponson_Breda_8	Ponson_Breda_9	Ponson_Breda_10	Ponson_Breda_11	Ponson_Breda_12	Ponson_Breda_13	Ponson_Breda_sum
mois_NOM_moi|mois	4.0	4.0	7.0	6.0	1.0	2.0	9.0	2.0	1.0	0.0	2.0	2.0	7.0	0.0	47.0
heure_NOM_heure	6.0	4.0	4.0	2.0	4.0	3.0	0.0	7.0	7.0	3.0	4.0	3.0	0.0	0.0	47.0
Vous_NAM_vous	2.0	4.0	5.0	1.0	5.0	4.0	6.0	1.0	4.0	5.0	2.0	3.0	2.0	2.0	46.0
si_ADV_si	1.0	1.0	1.0	2.0	2.0	8.0	4.0	5.0	3.0	2.0	2.0	8.0	5.0	1.0	45.0
pièce_NOM_pièce	2.0	0.0	1.0	4.0	2.0	2.0	9.0	5.0	3.0	2.0	5.0	7.0	3.0	0.0	45.0
Oui_VER:pper_oui	0.0	7.0	3.0	6.0	4.0	3.0	1.0	5.0	2.0	5.0	3.0	3.0	2.0	1.0	45.0
porte_NOM_porte	2.0	0.0	3.0	5.0	1.0	2.0	1.0	6.0	1.0	6.0	6.0	3.0	5.0	4.0	45.0
-moi_PRO:PER_moi	2.0	7.0	5.0	3.0	2.0	4.0	2.0	2.0	5.0	4.0	2.0	2.0	1.0	4.0	45.0
-là_ADV_là	1.0	2.0	7.0	2.0	8.0	6.0	2.0	4.0	2.0	4.0	0.0	4.0	2.0	1.0	45.0
fut_VER:simp_être	1.0	0.0	2.0	2.0	0.0	2.0	3.0	6.0	4.0	3.0	9.0	3.0	7.0	3.0	45.0
sont_VER:pres_être	3.0	6.0	5.0	4.0	6.0	3.0	0.0	3.0	1.0	3.0	2.0	5.0	1.0	2.0	44.0
coup_NOM_coup	4.0	0.0	5.0	4.0	1.0	9.0	0.0	0.0	1.0	6.0	5.0	4.0	3.0	2.0	44.0
»_PUN:cit_»	4.0	4.0	4.0	4.0	0.0	1.0	5.0	3.0	2.0	5.0	4.0	1.0	4.0	3.0	44.0
prit_VER:simp_prendre	0.0	0.0	6.0	3.0	3.0	5.0	1.0	6.0	4.0	2.0	5.0	2.0	5.0	2.0	44.0
lettre_NOM_lettre	0.0	1.0	5.0	10.0	0.0	2.0	10.0	0.0	6.0	0.0	2.0	0.0	6.0	2.0	44.0
étaient_VER:impf_être	8.0	2.0	2.0	4.0	3.0	3.0	0.0	1.0	2.0	4.0	4.0	6.0	3.0	2.0	44.0
dix_NUM_dix	3.0	1.0	0.0	1.0	1.0	4.0	4.0	2.0	2.0	9.0	6.0	5.0	5.0	0.0	43.0
ni_KON_ni	5.0	4.0	4.0	0.0	4.0	5.0	0.0	3.0	4.0	10.0	3.0	0.0	1.0	0.0	43.0
ans_NOM_an	11.0	7.0	3.0	2.0	3.0	1.0	4.0	1.0	3.0	5.0	0.0	1.0	2.0	0.0	43.0
Et_NOM_et	4.0	2.0	5.0	6.0	2.0	2.0	2.0	4.0	5.0	3.0	4.0	1.0	2.0	1.0	43.0
jours_NOM_jour	5.0	3.0	6.0	2.0	1.0	0.0	3.0	3.0	6.0	4.0	1.0	1.0	5.0	3.0	43.0
amour_NOM_amour	15.0	3.0	1.0	1.0	7.0	1.0	2.0	3.0	4.0	1.0	0.0	3.0	1.0	1.0	43.0
car_KON_car	2.0	6.0	5.0	2.0	2.0	3.0	3.0	2.0	4.0	4.0	4.0	0.0	3.0	3.0	43.0
